Club,Handle,Country,Region,League,Followers,(as of),Tweeted at…,Expressed some interest?,Postcode,Latitude,Longitude
Elmstead CC,@ElmsteadCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship,635,1/3/2022,1/3/2022,,CO7 7AA,51.880470,0.996220
Stowmarket CC,@stowmarketcc,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,"1,480",30/3/2022,30/3/2022,,IP14 1SZ,52.195350,0.974890
Mildenhall CC,@MildenhallCrick,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,"1,647",9/5/2022,,,IP28 7JU,52.343720,0.505060
Little Hallingbury CC,@HallingburyCC,UK,Essex,Herts & Essex Border League,"2,022",13/5/2022,,,CM22 7QT,51.831270,0.172700
Westcliff-on-Sea CC,@WoScricket,UK,Essex,Hamro Foundation Essex League,664,16/5/2022,,,SS0 8NB,51.545290,0.676410
Dunmow CC,@DunmowCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship,776,16/5/2022,,,CM6 3AT,51.873610,0.373690
Thorley CC,@thorley_cc,UK,Hertfordshire / Essex,Herts & Essex Border League,727,16/5/2022,,,CM23 4BH,51.854410,0.139170
Takeley CC,@TakeleyCC,UK,Hertfordshire,Herts & Essex Border League,479,16/5/2022,,,CM22 6SB,51.868120,0.265370
Stansted Hall and Elsenham CC,@SHandECricket,UK,Essex,Herts & Essex Border League,172,16/5/2022,,,CM24 8ST,51.906880,0.216710
Bishop's Stortford CC,@bishcricket,UK,Hertfordshire,Herts & Essex Border League,"1,538",25/5/2022,,,CM23 2TD,51.876920,0.150180
Braughing CC,@BraughingCC,UK,Hertfordshire,Herts & Essex Border League… Herts league… Essex league,471,14/6/2022,,,SG11 2QL,51.906620,0.032660
Stanford le hope CC,@1887slhcc,UK,Essex,Hamro Foundation League,120,23/6/2022,,,SS17 0ED,51.511690,0.431570
Coggeshall Town CC,@CoggyTownCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,"1,302",23/6/2022,,,CO6 1RQ,51.862480,0.686700
Tuddenham CC,@tuddcc,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,505,23/6/2022,,,IP28 6SB,52.314170,0.547460
Cloghams CC,@cloghamscc,UK,Essex,Herts & Essex Border League,218,23/6/2022,,,CM6 1WG,51.796640,0.318950
Chappel & Wakes Colne CC,@WeAreCWCCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,403,23/6/2022,,,CO6 2BE,51.943610,0.756260
Brightlingsea CC,@Bseacc,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,695,23/6/2022,,,CO7 0NN,51.815060,1.027760
West Mersea CC,@WMerseaCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,667,23/6/2022,,,CO5 8RS,51.783990,0.921320
Felixstowe and Corinthians CC,@CCFelixstowe,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,890,23/6/2022,,,IP11 9HT,51.969550,1.353050
East Bergholt CC,@EastBergholtCC,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,583,23/6/2022,,,CO7 6TP,51.969910,1.024710
Coton CC,@ClubCoton,UK,Cambridgeshire,Marshall Hatchick Two Counties Cricket Championship,27,23/6/2022,,,CB23 7PX,52.209440,0.069370